# Spanish source text<TAB>English UI text. Longest matches are applied first.
Panel de control	Dashboard
Preparar ESP32	Set up ESP32
Ayuda y LED	Help and LED
ESTADO DE TU TORRE	DESKTOP STATUS
ESP32 en línea	ESP32 online
ESP32 sin señal	No ESP32 heartbeat
Acciones rápidas	Quick actions
Herramientas para comprobar y acceder	Tools to check and connect
▣   Preparar ESP32	▣   Set up ESP32
◉   Panel de control	◉   Dashboard
⚙   Configuración	⚙   Settings
ⓘ   Ayuda y LED	ⓘ   Help and LED
Torre Remota	Remote PC Bridge
ESTADO DEL SISTEMA	SYSTEM STATUS
Leyendo configuración…	Loading settings…
Configura tu equipo	Set up your PC
Conexión a casa	Connect to your PC
Enciende, comprueba y conecta desde un solo lugar	Wake, check, and connect from one place
Comprobando tu conexión…	Checking your connection…
Separaremos el estado del ESP32, la torre y la conexión remota.	The ESP32, desktop, and remote connection are checked separately.
Moonlight · Sin sesión iniciada en esta ventana	Moonlight · No session started in this window
Última comprobación: pendiente · actualización automática cada 30 s	Last check: pending · refreshes automatically every 30 s
03 · TORRE	03 · DESKTOP
04 · REMOTO	04 · REMOTE
05 · VÍDEO	05 · VIDEO
Pendiente	Pending
Sin iniciar	Not started
Encender y conectar	Wake and connect
Solo encender	Wake only
Diagnosticar	Run diagnostics
Cancelar espera	Cancel wait
Estado de la conexión	Connection status
Pruebas independientes, con resultados recientes	Independent checks with recent results
Órdenes y autenticación	Commands and authentication
ESP32 EN CASA	ESP32 AT HOME
Última señal y Wi-Fi	Latest heartbeat and Wi-Fi
TORRE EN CASA	DESKTOP AT HOME
Pruebas desde el ESP32	Checks from the ESP32
Estado desde el Yoga	Status from this laptop
Puertos TCP desde el Yoga	TCP ports from this laptop
ÚLTIMA ORDEN	LAST COMMAND
Sin órdenes en esta sesión	No commands in this session
Sin comprobar	Not checked
Ninguna	None
Actividad y diagnóstico	Activity and diagnostics
Probar ruta	Test route
Abrir Moonlight	Open Moonlight
Exportar	Export
El ESP32 debe permanecer alimentado en casa. La aplicación no instala servicios en la torre.	Keep the ESP32 powered at home. This app installs no services on the desktop.
Configuración	Settings
Ajusta el equipo y las credenciales guardadas para este usuario de Windows.	Manage this PC and the credentials stored for your Windows account.
Idioma de la aplicación	App language
Elige el idioma de la interfaz. El cambio se guarda automáticamente.	Choose the interface language. Changes are saved automatically.
Conexión	Connection
IP Tailscale de la torre	Desktop Tailscale IP
Aplicación de Moonlight	Moonlight application
Puerto base de Sunshine	Sunshine base port
Espera máxima (segundos)	Maximum wait (seconds)
Ruta de Moonlight.exe	Path to Moonlight.exe
Ruta de tailscale.exe	Path to tailscale.exe
Acceso al ESP32 v2	ESP32 v2 access
Las credenciales se cifran con tu cuenta de Windows. Este panel utiliza siempre el protocolo autenticado del ESP32 v2.	Credentials are encrypted for your Windows account. This panel always uses the authenticated ESP32 v2 protocol.
Usuario del Yoga	Laptop user
Contraseña Wi-Fi (vacía al volver a abrir = conservar la guardada)	Wi-Fi password (leave blank later to keep the saved password)
Contraseña	Password
Comprobando credenciales…	Checking credentials…
Guardar cambios	Save changes
Preparar tu conexión	Set up your connection
Configura Firebase, prepara el ESP32 y comprueba cada etapa desde aquí.	Set up Firebase and the ESP32, then check each stage here.
1 · Tu red y Firebase	1 · Your network and Firebase
Crea un proyecto Firebase con Realtime Database y activa Email/Password en Authentication. Usa un proyecto dedicado: las reglas de esta guía cierran otros nodos.	Create a Firebase project with Realtime Database and enable Email/Password in Authentication. Use a dedicated project: these rules block other nodes.
URL raíz de Realtime Database	Realtime Database root URL
IP local de la torre	Desktop LAN IP
MAC de la tarjeta Ethernet	Ethernet adapter MAC
Nombre de la red Wi-Fi de casa	Home Wi-Fi network name
Guardar datos	Save details
Crear usuarios y reglas	Create users and rules
Aún no se han preparado usuarios técnicos.	Technical users have not been created yet.
2 · Publicar reglas de acceso	2 · Publish access rules
